DANE_code,municipality,hotel_name,address,phone_number,mail,owner
15047,AQUITANIA,FINCA SAN PEDRO,KILOMETRO 2 VIA AQUITANIA,7720727,felipeavelasco@yahoo.com,ANDRES FELIPE VELASCO SAENZ
15047,AQUITANIA,HOTEL REFUGIO SANTA INES,VEREDA EL CAJON,3125210033,santaineshotel@gmail.com,CARLOS ERNESTO TORRES AGUIRRE
15047,AQUITANIA,HOTEL REFUGIO POZO AZUL,LAGO DE TOTA VEREDA SUSACA,3134401766,hpozoazul@yahoo.com,MAURICIO NIÑO REYES
15047,AQUITANIA,HOTEL ROCAS LINDAS LAGO DE TOTA,KILOMETRO 26 VIA SOGAMOSO AQUITANIA,7723776,hotelrocaslindastota@yahoo.es,MARIA MARCELA FONSECA PARRADO
15047,AQUITANIA,CHALET DEL ARCO IRIS,VEREDA EL CAJON,2684399,chaletdelarcoiristota@hotmail.com,DIEGO FERNANDO MESA CHAPARRO
15047,AQUITANIA,HOTEL DONDE LUCHO AQUITANIA,CALLE 7 NO 6 32,7794138,restaurantelucho.aquitania@gmail.com,LUIS ANTONIO SUAREZ MOLINA
15051,ARCABUCO,FUNDACION AYUDA INTERNACIONAL DE ALEMANIA Y SUIZA AL CAMPESINO COLOMBIANO,VEREDA LOS NARANJOS FINCA AGUA VIVA,6561608,marthaestupinana@yahoo.es,ANTONIO MARIA BARRIOS DIAZ
15051,ARCABUCO,CENTRO DE VISITANTES SANTUARIO DE FLORA Y FAUNA IGUAQUE,SANTUARIO DE FLORA Y FAUNA IGUAQUE,3125859892,naturariguaque@yahoo.es,CARLOS WILLIAM GOMEZ GARZON
15176,CHIQUINQUIRA,HOTEL LA PRIMAVERA,CARRERA 10 NO 17 80,7262452,dnvgranados@yahoo.es,HERMINIA PARRA CASTELLANOS
15176,CHIQUINQUIRA,HOTEL ALCARRAZA CHIQUINQUIRA,CALLE 17 NO 8 44,7260524,NI,MISAEL GUERRERO MATEUS
15176,CHIQUINQUIRA,HOTEL VILLACENTRO,CARRERA 10 NO 17 35,7262663,hotelvillacentro@hotmail.com.co,BEATRIZ ARACELY NOVA DE VILLAMIL
15176,CHIQUINQUIRA,HOTEL LA VIÑA,CARRERA 9 NO 16 51,7262568,NI,FLOR MARINA CANCELADO DE GONZALEZ
15176,CHIQUINQUIRA,HOTEL BOYACA,CARRERA 9 NO 4A 93,7264405,NI,CASTA HERLINDA RODRIGUEZ DE SANCHEZ
15176,CHIQUINQUIRA,HOTEL MONTECARLO,CALLE 9 NO 8 76,7264366,ninguna,CARMEN CECILIA PARRA DE GARZON
15176,CHIQUINQUIRA,HOSPEDAJE EL CONDOR,CARRERA 9 NO 5 05,7263700,NI,SECUNDINO ARDILA VELOZA
15176,CHIQUINQUIRA,EL GRAN HOTEL,CALLE 16 NO 7A 55,7263700,elgranhotelchiq@reservashoteleras.com,PEDRO ANTONIO BUITRAGO IBAÑEZ
15176,CHIQUINQUIRA,HOTEL EL DORADO,CARRERA 7 NO 18 04,7262490,hoteldoradochiquinquira@latinmail.com,EDGAR PIEDRAHITA BARRERO
